ID,"class"
102,democrat
413,democrat
30,democrat
298,democrat
95,democrat
340,democrat
237,democrat
368,democrat
27,democrat
182,democrat
43,democrat
418,democrat
130,democrat
204,democrat
59,democrat
220,democrat
175,democrat
13,democrat
348,democrat
302,democrat
132,democrat
322,democrat
416,democrat
73,democrat
248,democrat
419,democrat
212,democrat
385,democrat
48,democrat
319,democrat
350,democrat
4,democrat
274,democrat
25,democrat
408,democrat
381,democrat
75,democrat
144,democrat
234,democrat
346,democrat
26,democrat
187,democrat
29,democrat
399,democrat
197,democrat
277,democrat
375,democrat
307,democrat
124,democrat
245,democrat
128,democrat
42,democrat
20,democrat
8,democrat
396,democrat
185,democrat
145,democrat
254,democrat
287,democrat
134,democrat
74,democrat
259,democrat
155,democrat
67,democrat
431,democrat
55,democrat
147,democrat
224,democrat
421,democrat
172,democrat
35,democrat
281,democrat
198,democrat
387,democrat
284,democrat
215,democrat
167,democrat
94,democrat
337,democrat
430,democrat
121,democrat
80,democrat
404,democrat
371,democrat
356,democrat
250,democrat
105,democrat
84,democrat
432,democrat
76,democrat
184,democrat
206,democrat
389,democrat
166,democrat
380,democrat
72,democrat
423,democrat
133,democrat
434,democrat
125,democrat
317,democrat
32,democrat
415,democrat
211,democrat
344,democrat
258,democrat
1,democrat
253,democrat
108,democrat
195,democrat
159,democrat
295,democrat
19,democrat
217,democrat
252,democrat
69,democrat
342,democrat
273,democrat
38,democrat
402,democrat
209,democrat
31,democrat
329,democrat
152,democrat
251,democrat
242,democrat
93,democrat
343,democrat
46,democrat
232,democrat
196,democrat
191,democrat
65,democrat
327,democrat
351,democrat
286,democrat
111,democrat
85,democrat
393,democrat
231,democrat
230,democrat
44,democrat
89,democrat
283,democrat
425,democrat
98,democrat
365,democrat
341,democrat
53,democrat
97,democrat
330,democrat
148,democrat
409,democrat
357,democrat
331,democrat
352,democrat
262,democrat
61,democrat
126,democrat
161,democrat
154,democrat
203,democrat
50,democrat
77,democrat
362,democrat
310,democrat
62,democrat
36,democrat
376,democrat
34,democrat
92,democrat
160,democrat
363,democrat
311,democrat
118,democrat
417,democrat
83,democrat
136,democrat
37,democrat
292,democrat
377,democrat
336,democrat
101,democrat
82,democrat
189,democrat
247,democrat
388,democrat
162,democrat
411,democrat
294,democrat
312,democrat
79,democrat
81,democrat
78,democrat
39,democrat
221,democrat
384,democrat
300,democrat
63,democrat
229,democrat
174,democrat
114,democrat
305,democrat
122,democrat
433,democrat
406,democrat
378,democrat
22,democrat
49,democrat
153,democrat
366,democrat
216,democrat
179,democrat
256,democrat
278,democrat
264,democrat
226,democrat
